run_accession,experiment,biosample,bioproject,collection_date,site_or_sample,strategy,platform,gbases
SRR40396823,SRX35002635,SAMN62766123,PRJNA1498729,2026-08-20,jurisdiction CI site S0090,AMPLICON,MiSeq i100,0.69
SRR40666459,SRX35241148,SAMN63139008,PRJNA1498729,2026-09-03,jurisdiction CI site S0120,AMPLICON,MiSeq i100,1.33
SRR40032820,SRX34683166,SAMN62226824,PRJNA989260,2025-09-25,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.36
SRR40032844,SRX34683182,SAMN62226900,PRJNA989260,2025-10-07,jurisdiction CI site S0092,AMPLICON,NextSeq 2000,0.32
SRR40032848,SRX34683178,SAMN62226904,PRJNA989260,2025-10-08,jurisdiction CI site S0086,AMPLICON,NextSeq 2000,0.01
SRR40032956,SRX34683282,SAMN62226960,PRJNA989260,2025-10-15,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.5
SRR40032940,SRX34683260,SAMN62226982,PRJNA989260,2025-11-10,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.31
SRR40032946,SRX34683254,SAMN62226988,PRJNA989260,2025-11-13,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.62
SRR40033114,SRX34683403,SAMN62227129,PRJNA989260,2025-12-17,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.31
SRR40033244,SRX34683572,SAMN62227278,PRJNA989260,2026-01-21,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,1.01
SRR40033239,SRX34683577,SAMN62227273,PRJNA989260,2026-01-22,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,1.19
SRR40033132,SRX34683463,SAMN62227163,PRJNA989260,2026-01-27,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,2.85
